# 软件工程领域关系类型定义
# 格式: 关系类型标识符|关系中文名|关系描述|关系反向标识符

# 基本关系类型
IMPLEMENTS|实现|表示一个设计模式或类实现了某个接口、原则或概念|IS_IMPLEMENTED_BY
INHERITS_FROM|继承|表示一个类或模式继承自另一个类或模式|IS_INHERITED_BY
USES|使用|表示一个组件或模式使用了另一个组件或模式|IS_USED_BY
CONTAINS|包含|表示一个组件或概念包含了另一个组件或概念|IS_CONTAINED_BY
COMPOSED_OF|组成|表示一个组件由多个其他组件组成|IS_COMPONENT_OF
SOLVES|解决|表示一个设计模式或技术解决了特定问题|IS_SOLVED_BY
APPLIES_TO|应用于|表示一个原则或模式适用于特定场景|IS_APPLIED_BY
RELATED_TO|相关|表示两个概念之间存在相关性|RELATED_TO
DEPENDS_ON|依赖|表示一个组件依赖于另一个组件|IS_DEPENDENCY_OF
ASSOCIATES_WITH|关联|表示两个类或组件之间存在关联关系|ASSOCIATES_WITH
AGGREGATES|聚合|表示一个类聚合了另一个类|IS_AGGREGATED_BY
EXTENDS|扩展|表示一个类或模式扩展了另一个类或模式|IS_EXTENDED_BY
BELONGS_TO|属于|表示一个概念或组件属于某个类别或范畴|CONTAINS

# 设计模式特有关系
PATTERN_VARIANT_OF|变体|表示一个设计模式是另一个设计模式的变体|HAS_VARIANT
ALTERNATIVE_TO|替代|表示一个设计模式可以替代另一个设计模式|CAN_BE_REPLACED_BY
COLLABORATES_WITH|协作|表示两个设计模式经常一起使用|COLLABORATES_WITH
CONFLICTS_WITH|冲突|表示两个设计模式在某些情况下可能冲突|CONFLICTS_WITH

# 软件架构关系
LAYER_ABOVE|层次高于|表示一个架构层次高于另一个层次|LAYER_BELOW
COMMUNICATES_WITH|通信|表示两个组件之间存在通信|COMMUNICATES_WITH
PROVIDES_INTERFACE|提供接口|表示一个组件为另一个组件提供接口|USES_INTERFACE
DEPLOYED_ON|部署于|表示一个组件部署在特定环境或平台上|HOSTS

# 软件过程关系
PRECEDES|先于|表示一个过程或阶段在另一个之前|FOLLOWS
ITERATES|迭代|表示一个过程包含迭代|IS_PART_OF_ITERATION
PRODUCES|产生|表示一个过程或活动产生特定产物|IS_PRODUCED_BY
CONSUMES|消费|表示一个过程或活动需要特定输入|IS_CONSUMED_BY
VERIFIES|验证|表示一个测试或活动验证某个组件或功能|IS_VERIFIED_BY

# 需求工程关系
REFINES|细化|表示一个需求细化了另一个需求|IS_REFINED_BY
TRACES_TO|追溯到|表示一个设计元素或代码追溯到特定需求|IS_TRACED_FROM
CONFLICTS_WITH_REQ|需求冲突|表示两个需求之间存在冲突|CONFLICTS_WITH_REQ
SATISFIES|满足|表示一个组件满足特定需求|IS_SATISFIED_BY 
